,0,1
128,mean_sc7_variance_mean,-0.06497873861669502
129,hog_sc5_kurtosis_sum,-0.05324537895217262
130,lbpm_sc7_skew_mean,0.05098061989078197
131,fourier_sc51_variance_std,-0.04950344313954871
132,lbpm_sc5_mean_mean,0.04660669168621322
133,gabor_sc7_filter_13_mean,-0.04212169052879072
134,ndvi_sc7_mean_std,-0.041396205466655435
135,lbpm_sc3_kurtosis_std,-0.03913340497856108
136,gabor_sc7_filter_14_mean,-0.038663245483430704
137,gabor_sc5_filter_10_sum,0.036858396619729776
138,gabor_sc5_filter_14_sum,0.03678843688077556
139,gabor_sc5_filter_12_sum,0.03628469341277686
140,gabor_sc7_filter_10_sum,0.036140548041853536
141,gabor_sc7_filter_14_sum,0.03556637730566589
142,gabor_sc5_filter_14_mean,-0.03340140384058854
143,ndvi_sc7_mean_mean,0.03308724959355397
144,gabor_sc7_filter_12_sum,0.03291775733398438
145,hog_sc3_variance_std,-0.03290406858679276
146,mean_sc7_variance_sum,0.032015332400702985
147,ndvi_sc7_variance_sum,-0.030996406482062182
148,ndvi_sc3_mean_sum,-0.030693627291473367
149,hog_sc5_skew_mean,-0.02912995402983435
150,ndvi_sc5_mean_sum,-0.028750024738079683
151,ndvi_sc5_variance_sum,-0.02829440394828637
152,hog_sc5_mean_std,-0.0280380163345863
153,sfs_sc3_std_std,0.027687729932189206
154,ndvi_sc7_mean_sum,-0.02651503124284108
155,sfs_sc5_w_mean_std,-0.02531917571847731
156,ndvi_sc5_mean_mean,0.02445251120822588
157,lsr_sc7_line_mean_sum,0.024166898505376174
158,ndvi_sc7_variance_mean,-0.02305048159917007
159,sfs_sc5_mean_std,0.02280431013155488
160,gabor_sc5_filter_2_mean,-0.019449786175836876
161,sfs_sc5_w_mean_sum,-0.018731158764410918
162,ndvi_sc3_mean_mean,0.018653311565616035
163,hog_sc7_variance_sum,0.018221025589734496
164,mean_sc7_mean_mean,-0.018039007731303396
165,gabor_sc7_filter_2_mean,-0.0178733214716429
166,gabor_sc5_variance_mean,-0.017386260156749937
167,sfs_sc3_w_mean_std,0.016636839963927123
168,lbpm_sc3_variance_std,-0.01475779358114149
169,gabor_sc5_filter_13_mean,-0.013466255712019428
170,sfs_sc3_mean_mean,0.011844858775940076
171,fourier_sc71_variance_sum,0.00986103977398496
172,ndvi_sc5_variance_std,0.007884842632611005
173,mean_sc5_mean_mean,-0.005696404719192311
174,pantex_sc7_min_mean,-0.004298836100823279
175,lbpm_sc5_kurtosis_mean,0.004122926008662824
176,gabor_sc5_filter_4_mean,-0.004006825119365
177,pantex_sc5_min_mean,-0.003653029158871466
178,gabor_sc7_variance_mean,-0.0024694983241631205
179,fourier_sc51_variance_sum,0.002024173583414317
180,gabor_sc7_filter_11_mean,-0.0018702954525922418
181,,
182, Road_Area_m2 ,
183,Total R2,0.6838011302661632
184,Alpha,0.1
185,l1_ratio,0.9
186,Trials train test split 2/3-1/3,
187,Trial 1 R2: ,0.5657152293546381
188,Trial 2 R2: ,0.583147775096122
189,Trial 3 R2: ,0.5414271212419456
190,Trial 4 R2: ,0.5849478687229283
191,Trial 5 R2: ,0.3684073855740556
192,Trial 6 R2: ,0.6464823471673513
193,Trial 7 R2: ,0.46089156973181583
194,Trial 8 R2: ,0.5611953631148281
195,Trial 9 R2: ,0.5561936078252544
196,Trial 10 R2: ,0.5995940970995014
197,Coefficients,
198,hog_sc7_kurtosis_sum,0.47251601353530315
199,sfs_sc7_mean_sum,0.23652589255649695
200,orb_sc71_mean_sum,-0.11285301107585911
201,sfs_sc7_max_ll_std,0.08994254067259148
202,sfs_sc5_std_sum,0.025343646769630062
203,fourier_sc31_variance_std,0.02437090189330606
204,sfs_sc5_mean_sum,0.009657068078842236
205,hog_sc5_kurtosis_sum,0.003726459636930369
206,,
207, Built_Up_Area_m2 ,
208,Total R2,0.7577089375211568
209,Alpha,0.05
210,l1_ratio,1.0
211,Trials train test split 2/3-1/3,
212,Trial 1 R2: ,0.5282987551030638
213,Trial 2 R2: ,0.413686621745409
214,Trial 3 R2: ,0.6472441445225487
215,Trial 4 R2: ,0.6335913420130088
216,Trial 5 R2: ,0.5419277824272646
217,Trial 6 R2: ,0.6403006159040096
218,Trial 7 R2: ,0.35782886044378837
219,Trial 8 R2: ,0.6025781065884219
220,Trial 9 R2: ,0.596869302833122
221,Trial 10 R2: ,0.5915818804309498
222,Coefficients,
223,hog_sc7_kurtosis_sum,0.5504515908343488
224,orb_sc31_skew_sum,0.10937391115361447
225,fourier_sc51_variance_std,0.1049743652009519
226,hog_sc5_kurtosis_sum,0.07526505129269379
227,sfs_sc7_max_ll_std,0.05450697989963756
228,lbpm_sc5_mean_std,0.019076008800433496
229,sfs_sc5_mean_sum,0.01570577911479931
230,sfs_sc5_std_sum,0.009339065096257607
231,gabor_sc7_filter_9_std,0.008224268805227605
232,hog_sc7_kurtosis_mean,-0.004780926426957406
233,,
234, Built_Up_Percent_of_GN ,
235,Total R2,0.7605778630930178
236,Alpha,0.1
237,l1_ratio,0.5
238,Trials train test split 2/3-1/3,
239,Trial 1 R2: ,0.7477387439048737
240,Trial 2 R2: ,0.6878025194761753
241,Trial 3 R2: ,0.6950106391452717
242,Trial 4 R2: ,0.6728583390438105
243,Trial 5 R2: ,0.7330668910737836
244,Trial 6 R2: ,0.689603562237888
245,Trial 7 R2: ,0.7253440305319304
246,Trial 8 R2: ,0.6636953562134035
247,Trial 9 R2: ,0.6516532463874911
248,Trial 10 R2: ,0.7447816560055351
249,Coefficients,
250,hog_sc7_kurtosis_mean,0.17645602426274287
251,hog_sc3_variance_mean,-0.1652632892254517
252,ndvi_sc5_variance_mean,-0.15623406403282092
253,sfs_sc3_max_ll_std,-0.06718309425288906
254,ndvi_sc7_variance_std,-0.06512867892684576
255,hog_sc7_kurtosis_sum,-0.052186852796143456
256,hog_sc3_mean_std,-0.045434983976792416
257,ndvi_sc7_variance_mean,-0.042200998455933995
258,lac_sc5_lac_mean,0.032797221443902666
259,lac_sc7_lac_mean,0.0326067055450372
260,lac_sc3_lac_mean,0.032088886782344846
261,ndvi_sc5_variance_std,-0.02803235304296688
262,lbpm_sc7_skew_std,-0.025537666126359288
263,lbpm_sc7_mean_std,-0.018741263937723424
264,pantex_sc5_min_mean,0.016076409210346226
265,sfs_sc3_max_ll_mean,0.014516534992496888
266,lbpm_sc5_skew_std,-0.010934031001539975
267,pantex_sc7_min_mean,0.0039852462499948985
268,,
269, Road_Length_m ,
270,Total R2,0.7088922172912546
271,Alpha,0.05
272,l1_ratio,0.99
273,Trials train test split 2/3-1/3,
274,Trial 1 R2: ,0.49744278993003477
275,Trial 2 R2: ,-0.4551198763590727
276,Trial 3 R2: ,0.45884471371649715
277,Trial 4 R2: ,0.5531592306200775
278,Trial 5 R2: ,0.5848756486887743
279,Trial 6 R2: ,0.5158112721274668
280,Trial 7 R2: ,0.3891072604847573
281,Trial 8 R2: ,0.44432160588377945
282,Trial 9 R2: ,0.5440670447949663
283,Trial 10 R2: ,0.5497771900188566
284,Coefficients,
285,hog_sc7_kurtosis_sum,0.6591323877811116
286,pantex_sc3_min_sum,-0.30745824075923883
287,sfs_sc7_mean_sum,0.13061927554012584
288,gabor_sc7_filter_11_std,0.08878803662550933
289,hog_sc5_kurtosis_sum,0.07651075297502606
290,sfs_sc7_max_ll_std,0.06030832636739799
291,sfs_sc3_mean_std,0.03274968845090495
292,sfs_sc5_mean_std,0.027657303085533623
293,hog_sc7_skew_std,-0.024860233486954125
294,fourier_sc31_variance_std,0.02368492895994876
295,fourier_sc51_mean_std,0.020431838312518588
296,,
